synset,adverb,sentence,type
00405423-r,moodily,"in the bar, a youngish, sharp-eyed man was staring moodily into a gin and tonic",adverb.manner
00405577-r,morbidly,he was morbidly fascinated by dead bodies,adverb.subject_oriented
00405717-r,morosely,he fell morosely on the bed,adverb.manner
00405821-r,morphologically,these two plants are morphologically related,adverb.domain
00405983-r,mortally,"a being of whom the forest Indians are said to be mortally afraid, with a hoof shaped like the heel of a bottle",adverb.degree
00406221-r,motionlessly,he saw the black-haired man waiting motionlessly behind the opposite side of the platform,adverb.manner
00406411-r,sadly,"‘She died last night,’ he said sadly",adverb.manner
00406532-r,mournfully,the young man stared into his glass mournfully,adverb.manner
00406659-r,mundanely,the young man spoke so mundanely of university life,adverb.manner
00406789-r,terrestrially,terrestrially changeable,adverb.domain
00406926-r,murderously,the huge dog bore down on them with bared fangs and barking murderously,adverb.manner
00407079-r,murkily,murkily expressed ideas,adverb.manner
00407179-r,musically,She sang very musically,adverb.manner
00407299-r,unmusically,She sings rather unmusically,adverb.manner
00407429-r,musingly,"‘It's funny about that bar,’ he said musingly",adverb.manner
00407555-r,mutually,the agreement was mutually satisfactory,adverb.manner
00407555-r,reciprocally,the goals of the negotiators were not reciprocally exclusive,adverb.manner
00408198-r,nakedly,Henriette saw the weaving figure of an Apache warrior reel nakedly on a pony and rush by with a rifle raised,adverb.manner
00408380-r,nakedly,they were attacked as they huddled nakedly on the bare hill,adverb.manner
00408778-r,broad-mindedly,the authorities broad-mindedly permitted the opening of a center for teenagers,adverb.manner
00408963-r,nastily,"‘Don't expect me to help you,’ he added nastily",adverb.manner
00409125-r,nationally,nationally advertised,adverb.spatial
00409125-r,nationwide,it was broadcast nationwide,adverb.spatial
00409329-r,nattily,it was arranged carefully and nattily,adverb.manner
00409457-r,jauntily,his hat sat jauntily on his full brown hair,adverb.manner
00409712-r,nearer,they drew nearer,adverb.spatial
00409712-r,nearer,getting nearer to the true explanation,adverb.spatial
00409931-r,nearest,that was the time he came nearest to death,adverb.degree
00410115-r,necessarily,such expenses are necessarily incurred,adverb.speaker_oriented
00410285-r,necessarily,we are necessarily bound for federalism in Europe,adverb.speaker_oriented
00410408-r,unnecessarily,they were unnecessarily rude,adverb.degree
00410775-r,nefariously,nefariously involved in a conspiracy,adverb.manner
00411000-r,negligently,he did his work negligently,adverb.manner
00411110-r,nervously,we watched the stock market nervously,adverb.manner
00411237-r,neurotically,"they are finely, not to say neurotically adjusted",adverb.manner
00411369-r,nervously,our bodies jumped nervously away at the slightest touch,adverb.manner
00411619-r,near,as the wedding day drew near,adverb.temporal
00411619-r,near,stood near the door,adverb.spatial
00411619-r,near,don't shoot until they come near,adverb.spatial
00411619-r,near,getting near to the true explanation,adverb.degree
00411619-r,near,her mother is always near,adverb.spatial
00411619-r,nigh,The end draws nigh,adverb.temporal
00411619-r,close,the bullet didn't come close,adverb.spatial
00411619-r,close,don't get too close to the fire,adverb.spatial
00412120-r,nightly,she checks on her roses nightly,adverb.frequency
00412227-r,ninefold,my investment has increased ninefold,adverb.degree
00412336-r,nobly,she has behaved nobly,adverb.manner
00412430-r,nohow,We could nohow make out his handwriting,adverb.degree
00412530-r,nonstop,we are flying nonstop from New York to Tokyo,adverb.manner
00412630-r,nostalgically,"they spent an hour together, talking nostalgically as they wandered slowly down the coast road",adverb.manner
00412791-r,notoriously,"European emigres, who notoriously used to repair to the British Museum to write seditious pamphlets",adverb.speaker_oriented
00413081-r,numerically,"in ten years' time the Oxbridge mathematicians, scientists, and engineers will not be much more significant numerically than the Oxbridge medical schools are now",adverb.domain
00413337-r,numbly,I stared at him numbly,adverb.manner
00413480-r,nowise,they are nowise different,adverb.degree
00413955-r,objectively,we must look at the facts objectively,adverb.manner
00414088-r,subjectively,you cannot look at these facts subjectively,adverb.manner
00414231-r,obscenely,this man is obscenely rich,adverb.degree
00414319-r,obsequiously,she acts obsequiously toward her boss,adverb.manner
00414897-r,unobtrusively,"messengers were moving unobtrusively over the jet-black mountain ranges, bearing confidential tidings from sheikhdom to sheikhdom",adverb.manner
00415132-r,officiously,nothing so fatal as to strive too officiously for an abstract quality like beauty,adverb.manner
00415297-r,obstructively,he acted very obstructively when we tried to carry out our project,adverb.manner
00415635-r,opaquely,he referred opaquely to her recent past,adverb.manner
00415752-r,operationally,reported the machine operationally satisfactory,adverb.domain
00415752-r,operationally,a well-trained staff that is operationally adequate,adverb.domain
00415941-r,oppressively,it was oppressively hot in the office,adverb.degree
00416162-r,optimistically,"‘We have a good chance of winning,’ he exclaimed optimistically",adverb.manner
00416346-r,pessimistically,he evaluated his chances for survival rather pessimistically,adverb.manner
00416529-r,optionally,this rule is applied optionally,adverb.manner
00416660-r,obligatorily,this rule applies obligatorily,adverb.manner
00416794-r,sumptuously,this government building is sumptuously appointed,adverb.manner
00417187-r,ostentatiously,Mr Khrushchev ostentatiously wooed and embraced Castro at the U.N. general assembly,adverb.manner
00417406-r,outlandishly,the Bavarian was outlandishly dressed in lederhosen,adverb.manner
00417543-r,outspokenly,he was outspokenly critical of the Government's new social policy,adverb.manner
00417776-r,overleaf,data tabulated overleaf,adverb.spatial
00417873-r,overmuch,let's not blame them overmuch,adverb.degree
00417994-r,overseas,He lived overseas for many years,adverb.spatial
00418101-r,overside,Willie eased himself overside into the sea,adverb.spatial
00418207-r,owlishly,the gentle-looking barrister peered owlishly around him,adverb.manner
00418340-r,pacifistically,the pacifistically inclined liberals,adverb.domain
00418463-r,painstakingly,painstakingly learn the routines of selling,adverb.manner
00418765-r,unpalatably,The vegetables looked unpalatably wilted,adverb.degree
00418906-r,palely,"his wife, always palely appealing",adverb.manner
00419049-r,palely,a palely entertaining show,adverb.degree
00419286-r,parenterally,the drug is intended to be administered parenterally,adverb.manner
00419420-r,parenthetically,he added parenthetically that he would not attend the wedding ceremony,adverb.manner
00419581-r,parochially,parochially narrow in his outlook,adverb.manner
00419697-r,past,every hour a train goes past,adverb.spatial
00419857-r,paternally,he behaves very paternally toward his young bride,adverb.manner
00419987-r,pathetically,they had pathetically little money,adverb.degree
00419987-r,pathetically,it was pathetically bad,adverb.degree
00420133-r,pathetically,the sick child cried pathetically,adverb.manner
00420451-r,unpatriotically,unpatriotically he contrived a way of avoiding military service,adverb.subject_oriented
00420622-r,peaceably,the tenant paying the rent hereby reserved and performing the several covenants herein on his part contained shall peaceably hold and enjoy the demised premises,adverb.manner
00421193-r,pejoratively,I am not using the word pejoratively,adverb.manner
00421314-r,penetratingly,the author treats his subject penetratingly,adverb.manner
00421486-r,pensively,pensively he stared at the painting,adverb.manner
00421600-r,penuriously,they lived penuriously,adverb.manner
00421786-r,perceptually,this task is perceptually very difficult,adverb.domain
00421914-r,perchance,"To sleep, perchance to dream …",adverb.speaker_oriented
00422032-r,perfidiously,he was playing perfidiously one side against the other,adverb.manner
00422293-r,perpendicularly,this red line runs perpendicularly to the green line,adverb.manner
00422436-r,perplexedly,he looked at his professor perplexedly,adverb.manner
00422590-r,persistently,"he was asking questions, unavoidable questions, persistently …",adverb.manner
00422738-r,persuasively,this essay argues so persuasively …,adverb.manner
00422859-r,pertinaciously,he struggled pertinaciously for the new resolution,adverb.manner
00423009-r,pertinently,"what is singular about his use of them is that no other artist, of his time or any other, has painted them so directly, intimately and pertinently",adverb.manner
00423540-r,phenomenally,his reaction was phenomenally quick,adverb.degree
00423749-r,philatelically,the Post Office honors great Americans philatelically,adverb.manner
00423889-r,phlegmatically,he accepted the decision phlegmatically,adverb.manner
00424015-r,picturesquely,in the building trade such a trader is picturesquely described as a ‘brass plate’ merchant,adverb.manner
00424192-r,piecemeal,the research structure has developed piecemeal,adverb.manner
00424346-r,bitterly,it was bitterly cold,adverb.degree
00424346-r,bitter,bitter cold,adverb.degree
00424646-r,pinnately,a pinnately compound leaf,adverb.manner
00424753-r,piping,the casserole was piping hot,adverb.degree
00424855-r,spicily,the soup was spicily flavored,adverb.manner
00425009-r,placidly,"I put the questions, and she answered them placidly",adverb.manner
00425154-r,placidly,the sea now shimmered placidly before our eyes,adverb.manner
00425382-r,point-blank,I asked him point-blank whether he wanted the job,adverb.manner
00425509-r,posthumously,these piano pieces were published posthumously,adverb.temporal
00425509-r,posthumously,he was honored posthumously,adverb.temporal
00425660-r,prestissimo,this passage should be played prestissimo,adverb.manner
00425799-r,rallentando,this passage should be played rallentando,adverb.manner
00425915-r,recognizably,he was recognizably slimmer now,adverb.degree
00426051-r,unrecognizably,he had unrecognizably aged,adverb.degree
00426224-r,regretfully,I must regretfully decline your kind invitation,adverb.speaker_oriented
00426370-r,piratically,the piratically published edition of his book,adverb.manner
00426498-r,pit-a-pat,his heart went pit-a-pat,adverb.manner
00426635-r,pit-a-pat,he came running pit-a-pat down the hall,adverb.manner
00426848-r,pithily,she expressed herself pithily,adverb.manner
00426998-r,pitifully,"wages were pitifully low, particularly the wages of women",adverb.degree
00427134-r,placatingly,Jenny smiled placatingly,adverb.manner
00427241-r,plaguey,it's so plaguey cold!,adverb.degree
00427364-r,plaintively,the last note of the song rang out plaintively,adverb.manner
00427493-r,playfully,she loosened the half-hoop of diamonds on her left hand third finger and held it out to him playfully,adverb.manner
00427673-r,pleasingly,the room was pleasingly large,adverb.degree
00427783-r,plenarily,an empire destined to enter the Commonwealth plenarily,adverb.degree
00427916-r,ploddingly,this writer ploddingly accumulates detail after detail,adverb.manner
00428051-r,plop,plop came the ball down to the corner of the green,adverb.manner
00428189-r,plump,the anchor fell plump into the sea,adverb.manner
00428189-r,plump,we dropped the rock plump into the water,adverb.manner
00428368-r,pneumatically,at the present time the transmission is very often done hydraulically or pneumatically,adverb.manner
00428539-r,pointlessly,he spent his life in pointlessly tiresome drudgery,adverb.manner
00428788-r,pluckily,he was Brentford's defensive star in pluckily holding out the determined Reading raids for long periods,adverb.manner
00429045-r,ponderously,he moves ponderously,adverb.manner
00429154-r,ponderously,the play was staged with ponderously realistic sets,adverb.degree
00429305-r,pop,everything went pop,adverb.manner
00429596-r,possessively,"he was sleeping, one arm flung possessively across his wife",adverb.manner
00429740-r,post-paid,I will send it post-paid,adverb.manner
00429855-r,potently,Clytemnestra's ghost crying in the night for vengeance remained most potently in the audience's mind,adverb.manner
00430156-r,powerfully,the federal government replaced the powerfully pro-settler Sir Godfrey Huggins with the even tougher and more determined ex-trade unionist,adverb.degree
00430615-r,pragmatically,"we want to build a democratic society, but we must act pragmatically",adverb.manner
00430768-r,pre-eminently,a wide variety of pre-eminently contemporary scenes,adverb.degree
00430990-r,precariously,being a precariously dominant minority is a difficult position for human nature to cope with,adverb.manner
00431283-r,precipitously,the mountains rose precipitously from the shore,adverb.manner
00431427-r,precipitously,conditions that precipitously increase the birthrate,adverb.manner
00431427-r,sharply,prices rose sharply,adverb.degree
00431593-r,precociously,her child behaves precociously,adverb.manner
00431857-r,prematurely,I spoke prematurely,adverb.temporal
00431998-r,prematurely,the child was born prematurely,adverb.temporal
00432154-r,presciently,"more presciently than they superiors, these workers grasped the economic situation",adverb.manner
00432413-r,presentably,years ago in her white-painted infancy it must have hung presentably on the deck of some luxury liner,adverb.manner
00432676-r,presumptuously,he presumptuously overstepped the doctor's orders,adverb.subject_oriented
00432814-r,pretentiously,this author writes pretentiously,adverb.manner
00432951-r,unpretentiously,she was unpretentiously dressed even though she was the guest of honor,adverb.manner
00433131-r,preternaturally,she was preternaturally beautiful,adverb.degree
00433289-r,prettily,all this is most prettily done,adverb.manner
00433396-r,priggishly,this professor acts so priggishly — like a moderator with a gavel!,adverb.manner
00433542-r,prissily,the new teacher alienates the children by behaving prissily,adverb.manner
00433705-r,primitively,rather primitively operated foundries,adverb.manner
00433947-r,probabilistically,we can calculate the position of the particles probabilistically,adverb.manner
00434207-r,warmly,warmly dressed,adverb.manner
00434339-r,prodigally,we are still prodigally rich compared to others,adverb.degree
00434522-r,prodigiously,the prices of farms rose prodigiously,adverb.degree
00434644-r,profanely,he kept wondering profanely why everything bad happened to him,adverb.manner
00434800-r,profanely,muttering profanely,adverb.manner
00434890-r,proficiently,he dealt proficiently with the problem,adverb.manner
00435140-r,prohibitively,it is prohibitively expensive,adverb.degree
00435256-r,promiscuously,she reads promiscuously,adverb.manner
00435407-r,promisingly,the afternoon had begun so promisingly,adverb.manner
00435530-r,prosaically,I applied my attention prosaically to my routine,adverb.manner
00435684-r,prosily,somewhat prosily and repetitively expounded,adverb.manner
00435802-r,proverbially,"this proverbially bitter plant, wormwood",adverb.domain
00435956-r,providentially,his providentially destined role,adverb.manner
00436106-r,providentially,providentially the weather remained good,adverb.speaker_oriented
00436247-r,provocatively,"‘Try it,’ he said provocatively",adverb.manner
00436657-r,pryingly,‘Do you have a boyfriend?’ she asked her prospective tenant pryingly,adverb.manner
00436814-r,psychologically,war that caught them in its toils either psychologically or physically,adverb.domain
00436814-r,psychologically,the event was very damaging to the child psychologically,adverb.domain
00437035-r,psychologically,classify poetry psychologically,adverb.domain
00437235-r,punctiliously,"he launched into a long history of the birth of communism, giving credit punctiliously to the work of Marx and Engels",adverb.manner
00437439-r,pungently,the soup was pungently flavored,adverb.manner
00437559-r,pungently,he wrote pungently about his contemporaries,adverb.manner
00437981-r,purposefully,"he caught the motorcycles in the full glare of his headlights, braked and slipped purposefully out of the car",adverb.manner
00438175-r,purposelessly,let's not purposelessly dispense the aid,adverb.manner
00438302-r,quaintly,the room was quaintly furnished,adverb.manner
00438424-r,quaintly,the old lady expressed herself somewhat quaintly,adverb.manner
00438569-r,qualitatively,this discoloration qualitatively suggests that the substance is low in inorganic iron,adverb.domain
00438741-r,quarterly,interest is compounded quarterly,adverb.frequency
00438873-r,quarterly,two coats of arms borne quarterly,adverb.manner
00438995-r,queasily,‘Do I have to remove the liver?’ the medical student asked queasily,adverb.manner
00439139-r,queerly,this money had been queerly come by,adverb.manner
00439274-r,queerly,a queerly inscribed sheet of paper,adverb.manner
00439469-r,unquestionably,Fred Winter is unquestionably the jockey to follow,adverb.speaker_oriented
00439469-r,unimpeachably,they hired unimpeachably first-rate faculty members,adverb.degree
00439689-r,questionably,these were estates his father questionably acquired,adverb.manner
00439869-r,quizzically,they looked quizzically at the doctor,adverb.manner
00440039-r,restfully,the streets are restfully sunny and still for the town is at mass,adverb.manner
00440193-r,quixotically,"sent to jail for two years, he has quixotically refused to clear himself by betraying his colleagues",adverb.subject_oriented
00440376-r,racily,racily vernacular language,adverb.manner
00440475-r,radially,an imaginative dispersal of the pews radially from the central focus of the pulpit,adverb.manner
00440634-r,radiantly,the bride smiled radiantly,adverb.manner
00440739-r,raggedly,"a long beard, raggedly cut",adverb.manner
00440888-r,raggedly,a stone wall trails raggedly through the woods,adverb.manner
00441018-r,raggedly,"I took the cigarette he offered, drawing at it raggedly",adverb.manner
00441150-r,rampantly,weeds grew rampantly around here,adverb.manner
00441365-r,raving,raving mad,adverb.degree
00441443-r,ravishingly,she was ravishingly beautiful,adverb.degree
00441580-r,reassuringly,the prime minister pointed reassuringly to the silence of the British press,adverb.manner
00441902-r,reflectively,he watched her reflectively,adverb.manner
00442014-r,refreshingly,she was refreshingly free from shyness,adverb.speaker_oriented
00442143-r,refreshingly,the air was refreshingly cool,adverb.degree
00442305-r,regally,a regally appropriate representative,adverb.domain
00442505-r,reminiscently,she spoke reminiscently of her days in college,adverb.manner
00442638-r,remotely,it is remotely possible,adverb.degree
00442738-r,remotely,"when the measured speech of the chorus passes over into song the tones are, remotely but unmistakably, those taught by the orthodox liturgy",adverb.degree
00442936-r,repellently,repellently fat,adverb.degree
00443066-r,repetitively,this type of border display is used repetitively in advertising,adverb.frequency
00443214-r,reputedly,fish with reputedly poisonous flesh,adverb.speaker_oriented
00443329-r,resentfully,"the best doctors would stay resentfully out of the national service, refusing to become the minions of a Minister",adverb.manner
00443892-r,resoundingly,he then so resoundingly denounced his former friend,adverb.manner
00444111-r,respectably,the film ends with the middle-aged romancers respectably married,adverb.manner
00444277-r,respectably,he did respectably well for his age,adverb.degree
00444433-r,restrictively,this relative clause is used restrictively,adverb.manner
00444562-r,retail,I'll sell it to you retail only,adverb.manner
00444667-r,wholesale,I can sell it to you wholesale,adverb.manner
00444856-r,reticently,she answered the questions reticently,adverb.manner
00445141-r,vindictively,he plotted vindictively against his former superiors,adverb.manner
00445354-r,reverently,he gazed reverently at the handiwork,adverb.manner
00445617-r,rhetorically,‘What can be done?’ he asked rhetorically,adverb.manner
00445841-r,righteously,righteously indignant,adverb.manner
00445963-r,unrighteously,he acted unrighteously,adverb.manner
00446091-r,riskily,he lost the game by playing too riskily,adverb.manner
00446217-r,roaring,roaring drunk,adverb.degree
00446279-r,robustly,he was robustly built,adverb.manner
00446377-r,roguishly,he winked at her roguishly,adverb.manner
00446492-r,roguishly,he roguishly intended to keep the money,adverb.subject_oriented
00446613-r,romantically,they were romantically linked,adverb.manner
00446725-r,spaciously,the furniture was spaciously spread out,adverb.manner
00446868-r,rotationally,"the required influence lines are found by subjecting the model to small displacements horizontally, vertically and rotationally",adverb.manner
00447080-r,sonorously,"the congregation consisted chiefly of a few young folk, who snored sonorously",adverb.manner
00447267-r,round-arm,he hit the ball round-arm,adverb.manner
00447380-r,rowdily,the crowd got drunk and started to behave rowdily,adverb.manner
00447534-r,ruinously,ruinously high wages,adverb.degree
00447656-r,ruthlessly,the government has been urged to take immediate action to deal ruthlessly with the strikers,adverb.manner
00447828-r,sarcastically,"‘Ah, now we're getting at the truth,’ he interposed sarcastically",adverb.manner
00448011-r,sanctimoniously,she was sanctimoniously criticizing everybody,adverb.manner
00448184-r,scandalously,you behaved scandalously when you walked out of that meeting!,adverb.manner
00448330-r,scathingly,she criticized him scathingly,adverb.manner
00448486-r,sceptically,he looked at her sceptically,adverb.manner
00448628-r,schematically,schematically outlined,adverb.manner
00448735-r,scorching,it was scorching hot,adverb.degree
00448839-r,screamingly,screamingly funny,adverb.degree
00448938-r,scurrilously,one paper scurrilously described how Edward was neglecting a bereaved mother to dance attendance on Wally,adverb.manner
00449130-r,searchingly,"‘Are you really happy with him?’ asked her mother, gazing at Vera searchingly",adverb.manner
00449290-r,seasonally,prices are seasonally adjusted,adverb.domain
00449471-r,seaward,the sailor looked seaward,adverb.spatial
00449581-r,second-best,he came off second-best,adverb.manner
00450023-r,seductively,she smiled at him seductively,adverb.manner
00450175-r,selectively,we choose our students very selectively,adverb.manner
00450311-r,self-consciously,the little girl self-consciously recited the poem,adverb.manner
00450486-r,unselfconsciously,"they were naked, unshy, and unselfconsciously beautiful",adverb.manner
00450751-r,sensationally,in the summer of 1958 the pianist had a sensationally triumphant return,adverb.degree
00450909-r,senselessly,these innocent bystanders were senselessly killed,adverb.manner
00451059-r,sensuously,sensuously delighting in the wine and food,adverb.manner
00451201-r,voluptuously,he sniffed the perfume voluptuously,adverb.manner
00451334-r,sensually,the belly dancer moved sensually among the tables,adverb.manner
00451502-r,sentimentally,"‘I miss the good old days,’ she added sentimentally",adverb.manner
00451818-r,separably,the two ideas were considered separably,adverb.manner
00451982-r,inseparably,these two are inseparably linked,adverb.manner
00452127-r,serenely,"I had the feeling that he was waiting, too — serenely patient",adverb.manner
00452275-r,sevenfold,the population of this village increased sevenfold in the past 100 years,adverb.degree
00452540-r,severally,the clothes were hung severally,adverb.manner
00452646-r,shabbily,the two were haggling shabbily in the drawing-room,adverb.manner
00452786-r,shabbily,a shabbily dressed man,adverb.manner
00452917-r,shaggily,shaggily unkempt mane,adverb.manner
00453015-r,shakily,"‘I — I'm going to make you a cup of tea’, she explained shakily",adverb.manner
00453184-r,shakily,this theory is rather shakily supported by some obscure data,adverb.manner
00453487-r,shamefacedly,"quarrels and dissensions ensued among the cast, most of whom hurriedly and shamefacedly handed over their parts to understudies",adverb.manner
00453699-r,shapelessly,the dress hung shapelessly on her thin body,adverb.manner
00453825-r,sheepishly,sheepishly he handed her back the money,adverb.manner
00453945-r,sheer,he fell sheer into the water,adverb.manner
00454106-r,shiftily,he looked at his new customer shiftily,adverb.manner
00454221-r,shockingly,"One day, she lost her temper, completely, suddenly and, even to herself, shockingly",adverb.speaker_oriented
00454436-r,shockingly,teachers were shockingly underpaid,adverb.degree
00454522-r,shockingly,they behaved shockingly at the funeral,adverb.manner
00454631-r,shoddily,a shoddily built house,adverb.manner
00454631-r,shoddily,he treated her shoddily,adverb.manner
00454757-r,short,I was caught short,adverb.temporal
00454841-r,short,She took him up short before he could continue,adverb.manner
00454943-r,short,he fell short of our expectations,adverb.degree
00455064-r,short,the car's axle snapped short,adverb.manner
00455142-r,short,he made his fortune by selling short just before the crash,adverb.manner
00455466-r,sidesaddle,she rode sidesaddle,adverb.manner
00455555-r,broadside,the train hit the truck broadside,adverb.manner
00455555-r,broadside,the wave caught the canoe broadside and capsized it,adverb.manner
00455713-r,sidelong,darting eyes looking sidelong out of a wizened face,adverb.manner
00455985-r,sidelong,the plow lay sidelong on the ground,adverb.manner
00456072-r,sideward,turn the figure sideward,adverb.manner
00456164-r,sideways,the car slipped sideways into the ditch,adverb.manner
00456164-r,sideways,leaning sideways,adverb.spatial
00456164-r,sidewise,a figure moving sidewise in the shadows,adverb.manner
00456343-r,sideways,a picture lit sideways,adverb.manner
00456343-r,sidewise,scenes viewed sidewise,adverb.manner
00456477-r,sideways,turned sideways to show the profile,adverb.spatial
00456477-r,sidewise,crabs seeming to walk sidewise,adverb.manner
00456645-r,signally,signally inappropriate methods,adverb.degree
00456780-r,signally,a term that is used signally rather than symbolically,adverb.manner
00456885-r,silkily,the young wheat shone silkily,adverb.manner
00456885-r,silkily,"‘Darling,’ she said silkily",adverb.manner
00457163-r,single-handedly,I built this house single-handedly,adverb.manner
00457366-r,singularly,Lord T. was considered singularly licentious even for the courts of Russia and Portugal; he acquired three wives and fourteen children during his Portuguese embassy alone,adverb.degree
00457641-r,sixfold,the population of this town increased sixfold when gold was found in the surrounding hills,adverb.degree
00457913-r,sketchily,he explained sketchily,adverb.manner
00457913-r,sketchily,the dishes were only sketchily washed,adverb.manner
00458066-r,skillfully,"fragments of a nearly complete jug, skillfully restored at the institute of archaeology",adverb.manner
00458236-r,skimpily,a skimpily dressed woman,adverb.manner
00458236-r,scantily,scantily clad,adverb.degree
00458383-r,sparsely,sparsely inhabited,adverb.degree
00458383-r,sparsely,his beard grew sparsely,adverb.manner
00458502-r,skittishly,the horse pranced around skittishly,adverb.manner
00458618-r,sky-high,prices have gone sky-high,adverb.degree
00458618-r,sky-high,garbage was piled sky-high,adverb.degree
00458618-r,sky-high,the men were flung sky-high by the explosion,adverb.spatial
00458782-r,sky-high,he extolled her virtues sky-high,adverb.degree
00458908-r,sky-high,they blew the bridge sky-high,adverb.degree
00458908-r,sky-high,the committee blew the thesis sky-high,adverb.degree
00459252-r,slangily,he expresses himself slangily,adverb.manner
00459586-r,slam-bang,the pans fell slam-bang and woke the whole house,adverb.manner
00459843-r,slapdash,the shelves were put up slapdash,adverb.manner
00459960-r,slap-bang,it hit slap-bang in the middle,adverb.degree
00460055-r,slavishly,his followers slavishly believed in his new diet,adverb.manner
00460182-r,sleekly,the wet road was shining sleekly,adverb.manner
00460296-r,sleepily,the two children who were snuggled sleepily in the back of the car,adverb.manner
00460439-r,sleeplessly,he was lying in bed sleeplessly,adverb.manner
00460568-r,slenderly,a slenderly built woman,adverb.manner
00460568-r,slightly,slightly built,adverb.degree
00460908-r,sloppily,this work was done rather sloppily,adverb.manner
00461019-r,slouchingly,he stood slouchingly at the garden gate,adverb.manner
00461134-r,slouchily,slouchily dressed,adverb.manner
00461230-r,smash,the car went smash through the fence,adverb.manner
00461334-r,smilingly,the girl reminded her smilingly of their childhood spent together,adverb.manner
00461643-r,smugly,the bureaucrats explained smugly that the facts provided by their own experts show no cause for concern,adverb.manner
00461921-r,snappishly,"‘Don't talk to me now,’ she said snappishly",adverb.manner
00462062-r,sneakingly,I always felt sneakingly that I wanted to be a concert pianist,adverb.degree
00462203-r,sneeringly,"‘I don't believe in these customs,’ he said sneeringly",adverb.manner
00462432-r,snobbishly,they snobbishly excluded their less wealthy friends from the party,adverb.manner
00462902-r,unsociably,the new neighbors behave quite unsociably,adverb.manner
00463045-r,sociologically,"sociologically speaking, this is an interesting phenomenon",adverb.domain
00463192-r,solicitously,‘Don't you feel well?’ his mother asked solicitously,adverb.manner
00463343-r,solitarily,a hermit chooses to live solitarily,adverb.manner
00463450-r,somberly,"‘That's sure bad news,’ said Dowd, somberly",adverb.manner
00463581-r,soothingly,the mother talked soothingly to her child,adverb.manner
00463703-r,dripping,dripping wet,adverb.degree
00463703-r,soaking,soaking wet,adverb.degree
00463915-r,sorely,I missed him sorely,adverb.degree
00463915-r,sorely,we were sorely taxed to keep up with them,adverb.degree
00464697-r,soullessly,they were soullessly grubbing for profit,adverb.manner
00464818-r,soundlessly,he stood up soundlessly and speechlessly and glided across the hallway and through a door,adverb.manner
00465016-r,sourly,he complained sourly that the new rules only benefitted the managers,adverb.manner
00465157-r,southerly,a wind blew southerly,adverb.spatial
00465252-r,southerly,the ship turned southerly,adverb.spatial
00465378-r,spasmodically,I began to write intermittently and spasmodically,adverb.manner
00465509-r,spasmodically,"the mouth was slightly open, and jerked violently and spasmodically at one corner",adverb.manner
00465770-r,spectrographically,the speech spectrum was displayed spectrographically,adverb.manner
00465914-r,speechlessly,he stood up soundlessly and speechlessly and glided across the hallway and through a door,adverb.manner
00466082-r,spirally,spirally fluted handles,adverb.manner
00466398-r,unsuspectingly,he was sitting unsuspectingly beyond that wall only a few yards from the burglar,adverb.manner
00466561-r,spotlessly,spotlessly clean,adverb.degree
00466658-r,trimly,he was trimly attired,adverb.manner
00466752-r,spuriously,the lawyer argued spuriously that his client knew nothing of the burglary,adverb.manner
00466916-r,squeamishly,"‘I would rather not touch,’ he said squeamishly",adverb.manner
00467046-r,theatrically,"‘I cannot show my face at her house,’ he declared theatrically",adverb.manner
00467379-r,stark,stark mad,adverb.degree
00467379-r,stark,mouth stark open,adverb.degree
00467456-r,starkly,in starkly realistic terms,adverb.degree
00467557-r,starkly,the black walls rose starkly from the snow,adverb.manner
00467685-r,starkly,He was starkly unable to achieve coherence,adverb.degree
00467802-r,startlingly,a startlingly modern voice,adverb.degree
00467911-r,statutorily,placed statutorily under the council's supervision,adverb.domain
00468043-r,staunchly,he staunchly defended his principles,adverb.manner
00468169-r,steeply,the street rose steeply up to the castle,adverb.manner
00468371-r,stertorously,he was breathing stertorously,adverb.manner
00468495-r,stickily,he felt the blood move stickily from his split scalp and trickle down his forehead,adverb.manner
00468690-r,stiff,bored stiff,adverb.degree
00468690-r,stiff,frightened stiff,adverb.degree
00468768-r,stiltedly,she answered him stiltedly,adverb.manner
00468873-r,chintzily,their rich uncle treated them rather chintzily,adverb.manner
00469054-r,stirringly,he talked stirringly about his days during the war,adverb.manner
00469185-r,stochastically,we estimated the answer stochastically,adverb.manner
00469307-r,still,he sat still as a statue,adverb.manner
00469307-r,still,time stood still,adverb.manner
00469307-r,stock-still,they waited stock-still outside the door,adverb.manner
00469307-r,still,he couldn't hold still any longer,adverb.manner
00469534-r,straightway,plunged straightway to the rocks below,adverb.temporal
00469634-r,straightway,straightway the clouds began to scatter,adverb.temporal
00469724-r,thereabouts,he stayed in London or thereabouts for several weeks,adverb.spatial
00469848-r,thereabouts,come at noon or thereabouts,adverb.temporal
00470062-r,thereof,a problem and the solution thereof,adverb.conjunctive
00470165-r,thereon,text and commentary thereon,adverb.spatial
00470257-r,thereto,with all the appurtenances fitting thereto,adverb.conjunctive
00470656-r,stockily,he was stockily built,adverb.manner
00470754-r,stoically,he stoically accepted all suffering,adverb.manner
00470883-r,stonily,stonily indifferent to time,adverb.manner
00470985-r,strategically,strategically important decisions,adverb.domain
00471105-r,stridently,the cheap clock ticked stridently,adverb.manner
00471219-r,stringently,the laws are stringently enforced,adverb.manner
00471219-r,stringently,stringently controlled,adverb.manner
